,,Well,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS32,1020,586,6803,6207,6117,6566,6167,6333,6419,5882,6152,6044,5448,5697,4882,6394,6732,6008,6760,5873,0,0,0,0,0,0,6264,6098,6088,5309,5269,5906,6263,6044,5751,6016,5738,5607,5959,6491,6259,5804,6159,5914,6700,6935,6731,7576,6692,6336,2456,2472,2368,2442,2379,2367,2411,2514,2253,2423,2371,2367,2554,2565,2507,2523,2820,2662,2482,2517,2381,2231,2461,2510,2477,2352,2282,2252,2323,2347,2908,2953,3295,2967,3022,2977,2979,2883,3063,2988,2979,2896,2870,2774,2924,2830,2872,2828
GS32,1020,587,6506,5937,5848,6226,5924,6034,6163,5636,5880,5773,5243,5458,4661,6128,6415,5722,6456,5657,0,0,0,0,0,0,6003,5843,5866,5083,5052,5681,5969,5769,5503,5728,5477,5350,5728,6212,5932,5568,5872,5649,6385,6663,6449,7243,6422,6084,2335,2351,2254,2332,2303,2250,2301,2421,2143,2319,2279,2277,2448,2444,2390,2436,2710,2544,2353,2440,2309,2157,2382,2392,2382,2248,2196,2156,2256,2248,2809,2806,3155,2838,2913,2867,2867,2748,2963,2861,2833,2782,2754,2670,2816,2686,2743,2706
GS32,1020,588,6276,5725,5664,6044,5736,5882,5929,5463,5661,5633,5098,5274,4508,5885,6217,5538,6262,5456,0,0,0,0,0,0,5831,5679,5646,4939,4890,5505,5790,5599,5304,5587,5294,5179,5533,5972,5734,5376,5721,5471,6140,6435,6250,7026,6208,5864,2282,2277,2189,2269,2200,2198,2223,2338,2110,2239,2197,2203,2375,2380,2333,2339,2616,2462,2295,2343,2223,2107,2267,2341,2280,2187,2118,2074,2159,2185,2719,2739,3055,2749,2830,2752,2778,2655,2842,2794,2763,2701,2673,2582,2704,2621,2686,2627
GS32,1020,589,6094,5582,5494,5868,5587,5713,5762,5310,5557,5489,4955,5136,4407,5767,6043,5433,6077,5290,0,0,0,0,0,0,5706,5524,5476,4783,4766,5368,5638,5438,5176,5416,5124,5022,5383,5796,5598,5257,5555,5320,6023,6238,6102,6792,6014,5714,2206,2237,2130,2204,2145,2141,2166,2252,2029,2183,2135,2145,2312,2307,2256,2282,2542,2398,2221,2302,2154,2040,2221,2254,2221,2133,2038,2037,2096,2120,2643,2682,2985,2683,2736,2705,2682,2614,2783,2711,2696,2625,2627,2522,2647,2567,2619,2554
GS32,1020,590,5911,5421,5339,5723,5389,5543,5612,5159,5312,5277,4761,4944,4234,5587,5864,5228,5882,5107,0,0,0,0,0,0,5496,5332,5349,4669,4604,5238,5458,5265,5050,5208,4961,4886,5206,5626,5443,5112,5350,5162,5805,6059,5859,6621,5837,5527,2152,2160,2049,2147,2086,2063,2100,2194,1975,2120,2069,2078,2244,2229,2189,2224,2465,2321,2162,2222,2096,1960,2126,2199,2155,2064,1997,1957,2048,2066,2556,2598,2880,2618,2658,2637,2618,2541,2702,2657,2625,2541,2538,2454,2578,2474,2538,2494
GS32,1020,591,5781,5289,5221,5522,5267,5400,5475,5045,5255,5196,4676,4870,4183,5459,5723,5091,5736,4994,0,0,0,0,0,0,5354,5245,5257,4542,4501,5101,5332,5142,4909,5125,4854,4759,5079,5551,5323,4989,5271,5062,5658,5910,5718,6461,5674,5427,2067,2113,2002,2089,2026,2004,2053,2154,1904,2040,2031,2009,2186,2177,2133,2160,2386,2249,2116,2159,2035,1914,2080,2121,2092,1997,1931,1931,1968,2024,2526,2536,2832,2563,2601,2558,2553,2475,2658,2584,2556,2516,2482,2407,2517,2420,2485,2422
GS32,1020,592,5572,5107,5044,5362,5078,5242,5269,4868,5045,4989,4501,4739,4021,5305,5562,4965,5531,4860,0,0,0,0,0,0,5185,5059,5073,4419,4369,4932,5150,4985,4724,4913,4689,4563,4939,5352,5164,4820,5119,4889,5488,5705,5545,6219,5498,5238,2012,2045,1937,2012,1959,1933,1954,2066,1851,1985,1962,1931,2092,2076,2047,2085,2314,2195,2012,2102,1949,1842,2012,2054,2011,1952,1869,1868,1914,1930,2415,2462,2728,2458,2517,2467,2472,2393,2551,2506,2474,2417,2400,2310,2450,2341,2403,2372
GS32,1020,593,5459,5007,4963,5255,4977,5085,5140,4754,4930,4897,4409,4623,3914,5171,5429,4803,5434,4754,0,0,0,0,0,0,5049,4951,4934,4275,4301,4822,5070,4852,4596,4805,4583,4489,4791,5213,5012,4712,4962,4787,5314,5588,5394,6048,5406,5085,1984,1987,1871,1965,1919,1899,1949,2028,1811,1956,1923,1916,2062,2057,1998,2040,2296,2155,1979,2050,1933,1825,1986,2007,2000,1897,1825,1818,1878,1904,2333,2406,2671,2416,2446,2441,2430,2326,2500,2430,2425,2357,2329,2247,2371,2307,2334,2307
GS32,1020,594,5247,4783,4744,5023,4800,4910,4952,4576,4767,4691,4269,4445,3778,4924,5228,4641,5214,4569,0,0,0,0,0,0,4899,4747,4772,4154,4104,4652,4866,4657,4468,4624,4408,4286,4608,5021,4804,4523,4806,4608,5148,5325,5185,5848,5196,4936,1914,1925,1830,1918,1856,1840,1865,1950,1736,1872,1856,1847,1983,1983,1953,1971,2201,2079,1893,1973,1856,1754,1895,1952,1932,1833,1771,1759,1812,1816,2271,2315,2573,2322,2365,2310,2347,2236,2407,2345,2312,2287,2254,2153,2291,2220,2245,2216
GS32,1020,595,5079,4639,4605,4896,4605,4737,4796,4449,4603,4569,4125,4293,3631,4776,5055,4496,5077,4429,0,0,0,0,0,0,4737,4619,4614,3996,3979,4503,4714,4546,4299,4496,4304,4175,4478,4891,4708,4404,4635,4492,4982,5186,5039,5657,5041,4739,1852,1862,1776,1834,1800,1794,1821,1905,1699,1839,1792,1794,1921,1928,1900,1916,2109,1998,1857,1900,1805,1721,1866,1886,1873,1767,1723,1703,1766,1764,2227,2241,2485,2236,2299,2288,2281,2175,2336,2286,2252,2200,2177,2106,2227,2132,2184,2157
GS32,1020,596,4919,4529,4480,4758,4513,4642,4678,4314,4466,4415,3995,4183,3569,4681,4928,4366,4921,4285,0,0,0,0,0,0,4598,4486,4498,3895,3895,4377,4575,4417,4218,4373,4158,4062,4354,4752,4569,4283,4489,4332,4866,5060,4899,5509,4873,4625,1808,1833,1737,1785,1750,1746,1761,1823,1654,1752,1736,1736,1881,1862,1830,1861,2078,1937,1795,1852,1736,1652,1777,1837,1799,1730,1674,1661,1725,1717,2152,2169,2408,2167,2239,2210,2185,2114,2252,2203,2203,2131,2120,2058,2167,2096,2122,2100
GS32,1020,597,4829,4399,4319,4656,4368,4480,4524,4205,4368,4287,3908,4054,3455,4546,4775,4238,4788,4152,0,0,0,0,0,0,4462,4355,4331,3799,3761,4258,4425,4271,4104,4245,4045,3957,4240,4572,4412,4130,4370,4214,4708,4878,4755,5333,4741,4489,1756,1759,1658,1736,1692,1701,1699,1774,1600,1725,1679,1669,1824,1824,1785,1787,1992,1895,1754,1789,1682,1602,1754,1781,1759,1673,1616,1607,1668,1693,2077,2102,2350,2106,2168,2128,2148,2047,2207,2148,2130,2095,2099,1994,2124,2044,2069,2035
GS32,1020,598,4655,4249,4193,4473,4221,4336,4384,4035,4206,4167,3736,3942,3325,4393,4600,4106,4598,4020,0,0,0,0,0,0,4330,4221,4228,3673,3615,4096,4299,4146,3936,4109,3875,3823,4104,4451,4291,4001,4254,4055,4568,4717,4609,5135,4566,4349,1679,1681,1620,1685,1637,1624,1655,1724,1538,1655,1631,1631,1757,1752,1728,1739,1947,1832,1683,1754,1659,1546,1685,1722,1685,1627,1577,1540,1598,1631,2017,2047,2285,2034,2086,2055,2066,1986,2142,2055,2055,2003,1988,1910,2027,1945,1999,1971
GS32,1020,599,4426,4050,3981,4283,4052,4141,4174,3853,4016,4011,3572,3751,3157,4157,4396,3937,4398,3840,0,0,0,0,0,0,4137,4028,4003,3488,3456,3919,4109,3935,3738,3905,3727,3651,3887,4255,4088,3843,4026,3877,4332,4489,4383,4910,4383,4169,1612,1607,1541,1612,1571,1560,1556,1650,1473,1584,1563,1580,1684,1665,1629,1661,1844,1753,1601,1674,1546,1477,1612,1667,1610,1537,1499,1484,1535,1537,1909,1923,2150,1955,1981,1960,1964,1879,2041,1985,1949,1904,1906,1829,1941,1859,1906,1872
GS32,1020,600,4353,3974,3919,4161,3934,4034,4096,3809,3957,3881,3504,3674,3108,4075,4312,3835,4291,3765,0,0,0,0,0,0,4024,3954,3936,3428,3403,3845,4026,3860,3687,3824,3649,3571,3815,4180,3999,3742,3948,3794,4296,4395,4279,4851,4291,4079,1573,1571,1512,1564,1520,1514,1560,1598,1430,1546,1514,1525,1630,1621,1605,1611,1807,1701,1565,1615,1516,1457,1556,1596,1552,1503,1442,1459,1503,1504,1861,1901,2102,1904,1950,1916,1923,1843,2000,1933,1937,1878,1863,1800,1902,1813,1863,1847
